nickname,kd_ratio
hugoxd,0.8271604938271605
Beccie,0.9896496815286624
oxygeN,1.0957446808510638
chawzyyy,0.9852941176470588
SPELLAN,0.7925531914893617
Techno4K,0.875
Mzinho,0.9844559585492229
Smash,1.029520295202952
ZEDKO,0.9351969504447268
Sh4ker,0.8461538461538461
tN1R,1.2307692307692308
refraction,0.6036866359447005
gbb,0.978102189781022
F1KU,1.148648648648649
refrezh,1.1791044776119404
japE,0.9934533551554828
dera,0.625
Frontsiderr,0.9295774647887324
Blytz,1.1343146274149034
zhoki,0.6
Makazz3,1.1052322163433277
WZRD,0.9607843137254902
kr1vda,1.025
DK,0.94521327014218
masked,0.7990750256937307
dezt,1.013157894736842
trindade-,1.0208333333333333
bnc77,0.7333333333333333
zed1x,1.0039143449228645
stax,0.7722007722007722
★ ⑳ toto-m,0.977859778597786
AZUWU,1.0148063781321184
fanatyk ☾,0.9790209790209792
gejmzilla,0.603448275862069
TeeZZ,0.9188155049076692
antonini-,0.984126984126984
Krabeni,1.0793838862559242
ANSG1,1.0010172939979654
NertZ,1.0520231213872833
Melavi,1.0771513353115727
MoriiSko,0.9191374663072776
MaLLby,1.7647058823529411
hoax,0.9103641456582632
deemO,1.1761517615176151
r3salt,1.1661442006269591
HEJHEJ_HUNDENE,0.8495575221238938
MAGILA-,0.9909365558912386
innocent,0.9507389162561576
Lekzi,0.8424242424242424
dobbo,0.9523809523809524
splaw1k,0.8048780487804879
drac,1.0417256011315417
cmtry,1.1137123745819395
sjuush,0.9053254437869822
xureba,1.1596638655462186
glowiing,0.9854227405247812
The eLiVe,0.8018134715025906
Frip_,0.8311688311688312
yvro,1.022222222222222
fallingxdd,1.0606060606060606
faydett,0.924114671163575
casey,0.9671361502347418
perez,1.1434782608695653
zevy,1.247863247863248
★ ⑳ bobz,0.7254901960784313
shyyne,1.0069444444444444
k1ndoff,0.9131730578183984
redi,1.2105263157894737
BALJS,0.8985507246376812
tiro,0.7692307692307693
tripey,1.1129032258064515
SELLTER,0.9682377049180328
dgl,1.0853658536585369
sinnopsyy =DD,0.9220588235294118
Brooxsy,0.9923980649619903
gwachkuar,0.7162534435261708
[COACH] ✓ ★ ⑳ raiN-,0.0
SHOCK,1.0347912524850895
mylbert8d,0.9865525672371638
card,1.1134751773049645
artist,0.8738612473721094
Diviiii,1.2163695299837924
RenanZin,1.0
meyern1,0.8904109589041096
Hippo,0.7676767676767676
RICIOLI,0.7288557213930348
SBT,0.889344262295082
Enzo,0.9245283018867924
swicher,0.9566630552546046
skejs,0.9642857142857144
forsyy,1.2235169491525424
leomonster,1.088
LEENAS,1.2162162162162162
Polt,1.0050761421319796
b1elany :p,1.0345381526104418
cso,0.9071274298056156
tsug,0.8561643835616438
myata,0.9245391705069124
Senzu,1.3278688524590163
misutaaa,0.9814814814814816
Fessor,0.993975903614458
✓ ★ ⑳ Brnz1k,0.9770114942528736
kisserek,1.030612244897959
shoowtime,0.7665369649805448
prt,1.003021148036254
thuister,1.0
SHIPZ,0.95260663507109
★ ⑳ lulu,0.4642857142857143
bruninhocs_,0.9
OneUn1que,1.069182389937107
lenci,0.9924812030075189
Djoko,0.8402555910543131
REDSTAR------,1.1445578231292517
Graviti,0.96875
Legy,0.9125
Anlelele,0.9793601651186792
abizz,0.8715083798882681
suonko,0.9794520547945206
CRUC1AL,1.0546116504854368
Tarkky,0.904225352112676
bsover,0.8286713286713286
manguss,0.9482535575679172
tomiko,0.9911412193850964
xiELO-,1.1271186440677967
Rainwaker,1.1570680628272252
Maka,1.1958568738229756
ninjaZ,0.8135593220338984
agR,1.011764705882353
[COACH] ★ ⑪ ner0,0.0
Lucky,1.0975143403441685
Schwarz,0.9279811097992916
m4tthi,0.8529411764705882
faLcOn,1.0029831664180695
j3kie,1.1185270425776754
Girafffe,0.9312080536912752
qzr,0.927536231884058
Hezz,0.9947916666666666
PARKER,1.1035058430717863
teme,0.9080745341614906
th0rsteinnf,1.0476190476190477
l3abaYaga,0.983754512635379
MaThZ†,1.0140845070422535
d1Ledez,1.2203947368421053
v1w,1.2641509433962264
millert,0.8460543337645536
Vacancy,0.8793604651162791
AdrieN,0.943661971830986
nyezin,0.9097938144329896
7homsen POLO,0.6535433070866141
L1keRuch,1.0470133633875385
kelieN,0.94750656167979
Misfit,1.3258426966292134
unshaarK,0.804177545691906
welho,0.89375
dem0n,1.0756358768406962
SeBreeZe,0.9534883720930232
U10m3k,1.0641509433962264
