player_id,series_count,game_count,total_kills,avg_kills,max_kills,min_kills,total_deaths,avg_deaths,max_deaths,min_deaths,kd_ratio,kills_per_game,deaths_per_game,id,nickname,team_name
111784,18,44,682,37.888888888888886,73,22,659,36.611111111111114,55,18,1.0349013657056145,15.5,14.977272727272727,111784,M1key,Team OG
111786,28,66,959,34.25,50,19,925,33.035714285714285,47,9,1.0367567567567568,14.530303030303031,14.015151515151516,111786,Maarkoos,Haspers Team
111788,34,81,1206,35.470588235294116,57,14,1224,36.0,52,21,0.9852941176470589,14.88888888888889,15.11111111111111,111788,kadziju,Illuminar gaming
111790,33,78,1052,31.87878787878788,56,9,1293,39.18181818181818,58,25,0.8136117556071152,13.487179487179487,16.576923076923077,111790,Furlan,Illuminar gaming
111792,34,81,1288,37.88235294117647,70,14,1245,36.61764705882353,52,22,1.0345381526104418,15.901234567901234,15.37037037037037,111792,b1elany :p,Illuminar gaming
111794,7,16,250,35.714285714285715,61,24,259,37.0,50,25,0.9652509652509652,15.625,16.1875,111794,✓ ★ ⑳ hugadas,paiN Academy
111796,11,26,405,36.81818181818182,55,22,407,37.0,49,20,0.995085995085995,15.576923076923077,15.653846153846153,111796,Tatu,paiN Academy
111797,7,14,236,33.714285714285715,63,13,178,25.428571428571427,43,14,1.3258426966292134,16.857142857142858,12.714285714285714,111797,Misfit,Solid
111799,11,26,434,39.45454545454545,65,28,369,33.54545454545455,50,19,1.1761517615176151,16.692307692307693,14.192307692307692,111799,deemO,paiN Academy
111946,30,72,925,30.833333333333332,55,18,1173,39.1,67,25,0.7885763000852515,12.847222222222221,16.291666666666668,111946,AcilioN,Preasy Esports
111998,33,79,1135,34.39393939393939,64,9,1208,36.60606060606061,52,25,0.9395695364238411,14.367088607594937,15.291139240506329,111998,phr,Illuminar gaming
112002,28,68,945,33.75,61,17,976,34.857142857142854,56,14,0.9682377049180327,13.897058823529411,14.352941176470589,112002,SELLTER,GUN5
112004,26,63,1064,40.92307692307692,74,22,944,36.30769230769231,58,19,1.1271186440677967,16.88888888888889,14.984126984126984,112004,xiELO-,GUN5
112006,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,112006,FinigaN,GUN5
112008,26,63,912,35.07692307692308,62,14,817,31.423076923076923,54,12,1.1162790697674418,14.476190476190476,12.968253968253968,112008,easy,GUN5
112010,25,60,1024,40.96,73,26,832,33.28,51,16,1.2307692307692308,17.066666666666666,13.866666666666667,112010,tN1R,GUN5
112012,48,118,1763,36.729166666666664,62,13,1749,36.4375,64,22,1.0080045740423098,14.940677966101696,14.822033898305085,112012,szejn',Copenhagen Wolves
112014,18,42,575,31.944444444444443,58,16,650,36.111111111111114,58,22,0.8846153846153846,13.69047619047619,15.476190476190476,112014,sense,Copenhagen Wolves
112016,39,96,1485,38.07692307692308,69,15,1494,38.30769230769231,66,20,0.9939759036144579,15.46875,15.5625,112016,Fessor,Copenhagen Wolves
112018,48,118,1596,33.25,60,14,1729,36.020833333333336,63,18,0.9230769230769231,13.525423728813559,14.652542372881356,112018,Tapewaare,Copenhagen Wolves
112020,15,33,481,32.06666666666667,64,22,476,31.733333333333334,49,14,1.0105042016806722,14.575757575757576,14.424242424242424,112020,j0w_.,Yawara Esports
112022,15,33,508,33.86666666666667,59,24,431,28.733333333333334,43,12,1.1786542923433874,15.393939393939394,13.06060606060606,112022,lash,Yawara Esports
112024,15,33,400,26.666666666666668,41,11,518,34.53333333333333,54,19,0.7722007722007722,12.121212121212121,15.696969696969697,112024,stax,Yawara Esports
112026,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,112026,ritz,Yawara Esports
112028,15,33,422,28.133333333333333,44,13,469,31.266666666666666,49,16,0.8997867803837953,12.787878787878787,14.212121212121213,112028,revoltz,Yawara Esports
112084,29,71,862,29.724137931034484,59,9,1067,36.793103448275865,56,21,0.8078725398313027,12.140845070422536,15.028169014084508,112084,beastik,SINNERS Esports
112085,29,71,1023,35.275862068965516,64,14,1113,38.37931034482759,58,16,0.9191374663072777,14.408450704225352,15.67605633802817,112085,MoriiSko,SINNERS Esports
112087,29,71,1224,42.206896551724135,74,19,994,34.275862068965516,54,19,1.2313883299798793,17.239436619718308,14.0,112087,oskar,SINNERS Esports
112089,29,71,1041,35.89655172413793,70,15,1006,34.689655172413794,53,18,1.0347912524850895,14.661971830985916,14.169014084507042,112089,SHOCK,SINNERS Esports
112091,29,71,994,34.275862068965516,54,18,1137,39.206896551724135,60,23,0.8742304309586632,14.0,16.014084507042252,112091,majky,SINNERS Esports
112095,7,15,273,39.0,67,29,269,38.42857142857143,67,28,1.0148698884758365,18.2,17.933333333333334,112095,Jackinho,Lilmix
112103,20,50,666,33.3,56,15,752,37.6,62,22,0.8856382978723404,13.32,15.04,112103,sAvana1,SAMPI
