id,name,name_short,start_date,end_date,private,title_ids,title_names
106188,DPC SEA 2021/2022 Tour 3: Division I,DPC SEA 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106189,ESEA Cash Cup: North America - Spring 2022 #6,ESEA Cash Cup: North,,,False,['1'],['Counter Strike: Global Offensive']
106190,Pinnacle Cup Championship,Pinnacle Cup Champio,,,False,['1'],['Counter Strike: Global Offensive']
106193,Into Valhalla,Into Valhalla,,,False,['2'],['Defense of the Ancients 2']
106194,ESL Impact Cash Cup: South America - Spring 2022 #5,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106196,Aorus League 2022 Invitational,Aorus League 2022 In,,,False,['1'],['Counter Strike: Global Offensive']
106197,Global Esports Tour 2022: Dubai,Global Esports Tour ,,,False,['1'],['Counter Strike: Global Offensive']
106198,DPC EEU 2021/2022 Tour 3: Division I,DPC EEU 2021/2022 To,,,False,['2'],['Defense of the Ancients 2']
106199,REPUBLEAGUE Season 3,REPUBLEAGUE Season 3,,,False,['1'],['Counter Strike: Global Offensive']
106201,DPC SA 2021/2022 Tour 3: Division I,DPC SA 2021/2022 Tou,,,False,['2'],['Defense of the Ancients 2']
106203,SiGMA Esports Cup Toronto 2022,SiGMA Esports Cup To,,,False,['1'],['Counter Strike: Global Offensive']
106208,Svenska Elitserien Spring 2022,Svenska Elitserien S,,,False,['1'],['Counter Strike: Global Offensive']
106210,WL Insight,WL Insight,,,False,['2'],['Defense of the Ancients 2']
106217,Doritos Balkan League Season 1,Doritos Balkan Leagu,,,False,['1'],['Counter Strike: Global Offensive']
106224,Khaz Modan Cup Season 2,Khaz Modan Cup Seaso,,,False,['2'],['Defense of the Ancients 2']
106225,Tipsport Online Cup 2022,Tipsport Online Cup ,,,False,['1'],['Counter Strike: Global Offensive']
106231,Dota 2 Champions League Season 12,Dota 2 Champions Lea,,,False,['2'],['Defense of the Ancients 2']
106232,ESEA Cash Cup: North America - Summer 2022 #1,ESEA Cash Cup: North,,,False,['1'],['Counter Strike: Global Offensive']
106233,Polish Pro League AMA PRO #2,Polish Pro League AM,,,False,['1'],['Counter Strike: Global Offensive']
106234,Fragadelphia 17: North Brunswick,Fragadelphia 17: Nor,,,False,['1'],['Counter Strike: Global Offensive']
106236,BLAST Premier: Spring Finals 2022,BLAST Premier: Sprin,,,False,['1'],['Counter Strike: Global Offensive']
106237,ESL Impact Cash Cup: North America - Spring 2022 #6,ESL Impact Cash Cup:,,,False,['1'],['Counter Strike: Global Offensive']
106238,ESEA Cash Cup: Europe - Spring 2022 #6,ESEA Cash Cup: Europ,,,False,['1'],['Counter Strike: Global Offensive']
106239,Top Clans 2022 Summer Invitational Qualifier,Top Clans 2022 Summe,,,False,['2'],['Defense of the Ancients 2']
