nickname,player_id,series_count,game_count,total_kills,avg_kills,max_kills,min_kills,total_deaths,avg_deaths,max_deaths,min_deaths,kd_ratio,kills_per_game,deaths_per_game
piriajr,110944,10,22,372,37.2,69,7,331,33.1,52,8,1.1238670694864048,16.90909090909091,15.045454545454543
yaph,110954,155,369,6566,42.36129032258064,81,10,5523,35.63225806451613,65,10,1.1888466413181242,17.794037940379404,14.967479674796747
dera,110956,1,3,10,10.0,10,10,16,16.0,16,16,0.625,3.333333333333333,5.333333333333333
PARKER,110958,157,372,6610,42.10191082802548,83,11,5990,38.152866242038215,63,15,1.1035058430717863,17.768817204301076,16.102150537634408
Sul9n,110960,142,338,5034,35.45070422535211,70,11,5378,37.87323943661972,66,17,0.9360357010040908,14.893491124260356,15.911242603550296
soNdarryll,110962,139,329,4713,33.906474820143885,62,12,4897,35.23021582733813,61,8,0.9624259750867878,14.325227963525837,14.88449848024316
L1keRuch,110964,163,392,6503,39.8957055214724,75,16,6211,38.104294478527606,68,11,1.0470133633875385,16.589285714285715,15.84438775510204
M1rage0,110966,125,296,4549,36.392,67,8,4767,38.136,69,10,0.9542689322425004,15.368243243243244,16.10472972972973
TeeZZ,110970,154,374,5523,35.86363636363637,67,16,6011,39.032467532467535,73,12,0.9188155049076692,14.767379679144383,16.072192513368982
mav1k,110972,139,341,4771,34.32374100719424,69,13,5468,39.33812949640288,71,15,0.8725310899780542,13.991202346041057,16.035190615835777
bodyaooo,110974,152,370,6657,43.79605263157895,75,9,5964,39.23684210526316,70,13,1.1161971830985915,17.991891891891893,16.11891891891892
DK,110976,139,329,4986,35.8705035971223,75,11,5275,37.94964028776978,68,11,0.94521327014218,15.155015197568389,16.033434650455927
Tymoshevskiy,110978,141,345,5694,40.38297872340426,78,11,5447,38.63120567375886,69,15,1.045346062052506,16.504347826086956,15.788405797101449
bobeksde,111009,13,33,539,41.46153846153846,58,20,553,42.53846153846154,66,23,0.9746835443037974,16.333333333333332,16.757575757575758
Ro1f,111011,13,33,422,32.46153846153846,51,18,509,39.15384615384615,56,19,0.8290766208251473,12.787878787878787,15.424242424242424
spooke,111013,14,36,626,44.71428571428572,68,27,607,43.35714285714285,58,24,1.031301482701812,17.38888888888889,16.86111111111111
